,Unnamed: 0,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,Date,weekday,Holiday,downseason,night_hour_sq,night_hour_cu,Event_name,Address,Lat,Long,Time,Duration,Event_type,Organizer,Respondents,Dist_hears
0,7.0,2022-10-16 19:00:00,34.8335,33.296416666666666,49.59411666666667,58.63586666666666,2022-10-16 11:00:00,0.0,16-10-2022,Sunday,0.0,0.0,0.0,0.0,"Studio STUK • Dans, Beeld & Geluid in de iconische Manhattan","Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
1,7.0,2022-10-16 19:00:00,34.8335,33.296416666666666,49.59411666666667,58.63586666666666,2022-10-16 11:00:00,0.0,16-10-2022,Sunday,0.0,0.0,0.0,0.0,Alex Reynolds & Alma Söderberg - La mano que canta • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
2,7.0,2022-10-16 19:00:00,34.8335,33.296416666666666,49.59411666666667,58.63586666666666,2022-10-16 11:00:00,0.0,16-10-2022,Sunday,0.0,0.0,0.0,0.0,Jazz Op Zondag: LUCA Jazz • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,19:30:00,,Other,Stuk,1000,0.1638859265575865
3,8.0,2022-10-16 19:20:00,44.25441666666667,41.1545,52.76083333333333,64.256025,2022-10-16 11:20:00,0.3333333333333339,16-10-2022,Sunday,0.0,0.0,0.1111111111111115,0.0370370370370372,"Studio STUK • Dans, Beeld & Geluid in de iconische Manhattan","Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
4,8.0,2022-10-16 19:20:00,44.25441666666667,41.1545,52.76083333333333,64.256025,2022-10-16 11:20:00,0.3333333333333339,16-10-2022,Sunday,0.0,0.0,0.1111111111111115,0.0370370370370372,Alex Reynolds & Alma Söderberg - La mano que canta • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
5,8.0,2022-10-16 19:20:00,44.25441666666667,41.1545,52.76083333333333,64.256025,2022-10-16 11:20:00,0.3333333333333339,16-10-2022,Sunday,0.0,0.0,0.1111111111111115,0.0370370370370372,Jazz Op Zondag: LUCA Jazz • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,19:30:00,,Other,Stuk,1000,0.1638859265575865
6,9.0,2022-10-16 19:40:00,38.06433333333333,35.64833333333333,51.46930833333333,61.780766666666665,2022-10-16 11:40:00,0.6666666666666661,16-10-2022,Sunday,0.0,0.0,0.4444444444444436,0.2962962962962955,"Studio STUK • Dans, Beeld & Geluid in de iconische Manhattan","Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
7,9.0,2022-10-16 19:40:00,38.06433333333333,35.64833333333333,51.46930833333333,61.780766666666665,2022-10-16 11:40:00,0.6666666666666661,16-10-2022,Sunday,0.0,0.0,0.4444444444444436,0.2962962962962955,Alex Reynolds & Alma Söderberg - La mano que canta • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
8,9.0,2022-10-16 19:40:00,38.06433333333333,35.64833333333333,51.46930833333333,61.780766666666665,2022-10-16 11:40:00,0.6666666666666661,16-10-2022,Sunday,0.0,0.0,0.4444444444444436,0.2962962962962955,Jazz Op Zondag: LUCA Jazz • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,19:30:00,,Other,Stuk,1000,0.1638859265575865
9,10.0,2022-10-16 20:00:00,39.38733333333334,36.70225,50.698283333333336,60.772558333333336,2022-10-16 12:00:00,1.0,16-10-2022,Sunday,0.0,0.0,1.0,1.0,"Studio STUK • Dans, Beeld & Geluid in de iconische Manhattan","Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
10,10.0,2022-10-16 20:00:00,39.38733333333334,36.70225,50.698283333333336,60.772558333333336,2022-10-16 12:00:00,1.0,16-10-2022,Sunday,0.0,0.0,1.0,1.0,Alex Reynolds & Alma Söderberg - La mano que canta • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
11,10.0,2022-10-16 20:00:00,39.38733333333334,36.70225,50.698283333333336,60.772558333333336,2022-10-16 12:00:00,1.0,16-10-2022,Sunday,0.0,0.0,1.0,1.0,Jazz Op Zondag: LUCA Jazz • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,19:30:00,,Other,Stuk,1000,0.1638859265575865
12,11.0,2022-10-16 20:20:00,33.56216666666666,32.28366666666667,50.01869166666667,59.20803333333333,2022-10-16 12:20:00,1.333333333333334,16-10-2022,Sunday,0.0,0.0,1.7777777777777797,2.3703703703703733,"Studio STUK • Dans, Beeld & Geluid in de iconische Manhattan","Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
13,11.0,2022-10-16 20:20:00,33.56216666666666,32.28366666666667,50.01869166666667,59.20803333333333,2022-10-16 12:20:00,1.333333333333334,16-10-2022,Sunday,0.0,0.0,1.7777777777777797,2.3703703703703733,Alex Reynolds & Alma Söderberg - La mano que canta • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
14,11.0,2022-10-16 20:20:00,33.56216666666666,32.28366666666667,50.01869166666667,59.20803333333333,2022-10-16 12:20:00,1.333333333333334,16-10-2022,Sunday,0.0,0.0,1.7777777777777797,2.3703703703703733,Jazz Op Zondag: LUCA Jazz • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,19:30:00,,Other,Stuk,1000,0.1638859265575865
15,12.0,2022-10-16 20:40:00,33.89991666666667,32.421416666666666,49.7927,59.00000833333333,2022-10-16 12:40:00,1.666666666666666,16-10-2022,Sunday,0.0,0.0,2.777777777777776,4.629629629629624,"Studio STUK • Dans, Beeld & Geluid in de iconische Manhattan","Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
16,12.0,2022-10-16 20:40:00,33.89991666666667,32.421416666666666,49.7927,59.00000833333333,2022-10-16 12:40:00,1.666666666666666,16-10-2022,Sunday,0.0,0.0,2.777777777777776,4.629629629629624,Alex Reynolds & Alma Söderberg - La mano que canta • Studio STUK,"Naamsestraat 96, Leuven",50.8741070739803,4.69976128650559,20:00:00,,Other,Stuk,1000,0.1638859265575865
